Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
3,66,SFO,Ahkello Witherspoon,WithAh00,CB,22,2021,0,0,2,14,12,56,0,0,0,0,0,0,0,0,0,0,0,113,7,,Colorado,
3,67,NOR,Alvin Kamara,KamaAl00,RB,22,2021,0,5,3,59,59,73,1,1,13,0,0,912,4238,47,373,3263,20,,,,Tennessee,
3,68,JAX,Dawuane Smoot,SmooDa00,DE,22,2021,0,0,0,13,13,72,0,0,0,0,0,0,0,0,0,0,0,72,,17.5,Illinois,
3,69,LAR,Cooper Kupp,KuppCo00,WR,24,2021,1,1,4,45,45,71,0,3,0,0,0,14,80,0,433,5517,40,1,,,East. Washington,
3,70,MIN,Pat Elflein,ElflPa00,C,23,2021,0,0,3,25,21,59,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.,
3,71,LAC,Dan Feeney,FeenDa00,G,23,2021,0,0,4,29,27,79,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,
3,72,TEN,Taywan Taylor,TaylTa00,WR,22,2020,0,0,0,6,6,35,0,0,0,0,0,8,43,0,53,697,2,4,,,Western Kentucky,
3,73,CIN,Jordan Willis,WillJo09,OLB,22,2021,0,0,0,7,4,60,0,0,0,0,0,0,0,0,0,0,0,49,,8.5,Kansas St.,
3,74,BAL,Chris Wormley,WormCh00,DE,23,2021,0,0,3,16,8,67,0,0,0,0,0,0,0,0,0,0,0,67,,10.5,Michigan,
3,75,ATL,Duke Riley,RileDu00,LB,23,2021,0,0,2,14,7,73,0,0,0,0,0,0,0,0,0,0,0,109,1,0.5,LSU,
3,76,NOR,Alex Anzalone,AnzaAl00,LB,22,2021,0,0,1,15,10,52,0,0,0,0,0,0,0,0,0,0,0,134,2,5.0,Florida,
3,77,CAR,Daeshon Hall,HallDa01,DE,22,2019,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,Texas A&M,
3,78,BAL,Tim Williams,WillTi00,OLB,23,2019,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2.0,Alabama,
3,79,NYJ,ArDarius Stewart,StewAr00,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama,
3,80,IND,Tarell Basham,BashTa00,DE,23,2021,0,0,1,13,1,75,0,0,0,0,0,0,0,0,0,0,0,69,1,11.0,Ohio,
3,81,WAS,Fabian Moreau,MoreFa00,CB,23,2021,0,0,2,14,9,76,0,0,0,0,0,0,0,0,0,0,0,128,6,,UCLA,
3,82,DEN,Carlos Henderson,HendCa01,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,
3,83,NWE,Derek Rivers,RiveDe00,DE,23,2021,0,0,0,4,2,24,0,0,0,0,0,0,0,0,0,0,0,11,,3.5,Youngstown St.,
3,84,TAM,Chris Godwin,GodwCh00,WR,21,2021,0,1,3,35,35,72,0,0,0,0,0,5,29,1,342,4643,29,7,,,Penn St.,
3,85,NWE,Antonio Garcia,GarcAn00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy,
3,86,KAN,Kareem Hunt,HuntKa00,RB,22,2021,0,1,2,39,25,59,0,0,0,0,0,772,3557,28,176,1596,16,,,,Toledo,
3,87,NYG,Davis Webb,WebbDa00,QB,22,2021,0,0,0,0,,1,0,0,0,0,0,2,-3,0,0,0,0,,,,California,
3,88,OAK,Eddie Vanderdoes,VandEd00,DT,22,2019,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,18,,,UCLA,
3,89,HOU,D'Onta Foreman,ForeDO00,RB,21,2021,0,0,0,8,2,26,0,0,0,0,0,240,987,5,18,239,2,,,,Texas,
3,90,SEA,Shaquill Griffin,GrifSh00,DB,22,2021,0,1,5,25,22,71,0,0,0,0,0,0,0,0,0,0,0,239,6,1.0,Central Florida,
3,91,LAR,John Johnson,JohnJo10,S,21,2021,0,0,4,21,17,69,0,0,0,0,0,0,0,0,0,0,0,272,11,0.5,Boston Col.,
3,92,DAL,Jourdan Lewis,LewiJo01,CB,22,2021,0,0,2,17,17,77,0,0,0,0,0,2,12,0,0,0,0,183,7,7.5,Michigan,
3,93,GNB,Montravius Adams,AdamMo00,DT,22,2021,0,0,0,5,5,55,0,0,0,0,0,0,0,0,0,0,0,29,,1.5,Auburn,
