Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
4,116,NYG,Elerson Smith,SmitEl00,DL,23,2021,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,2,,,Northern Iowa,
4,117,LAR,Bobby Brown,BrowBo04,DL,21,2021,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,
4,118,LAC,Chris Rumph,RumpCh00,DE,22,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,8,,1.0,Duke,
4,119,MIN,Kene Nwangwu,NwanKe00,RB,23,2021,0,0,0,2,2,11,0,0,0,0,0,13,61,0,4,9,0,,,,Iowa St.,
4,120,NWE,Rhamondre Stevenson,StevRh00,RB,23,2021,0,0,0,5,5,12,0,0,0,0,0,133,606,5,14,123,0,,,,Oklahoma,
4,121,JAX,Jordan Smith,SmitJo03,OLB,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Ala-Birmingham,
4,122,CIN,Tyler Shelvin,ShelTy00,DT,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,
4,123,PHI,Zech McPhearson,McPhZe00,DB,23,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,7,,,Texas Tech,
4,124,WAS,John Bates,BateJo00,TE,23,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,20,249,1,2,,,Boise St.,
4,125,MIN,Camryn Bynum,BynuCa00,CB,23,2021,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,20,1,1.0,California,
4,126,CAR,Chuba Hubbard,HubbCh01,RB,22,2021,0,0,0,5,5,17,0,0,0,0,0,172,612,5,25,174,1,1,,,Oklahoma St.,
4,127,IND,Kylen Granson,GranKy00,TE,23,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,11,106,0,,,,SMU,
4,128,PIT,Dan Moore,MoorDa05,OL,22,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,
4,129,TAM,Jaelon Darden,DardJa00,WR,22,2021,0,0,0,0,0,9,0,0,0,0,0,1,11,0,6,43,0,,,,North Texas,
4,130,LAR,Robert Rochell,RochRo00,DB,23,2021,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,11,1,,Central Arkansas,
4,131,BAL,Tylan Wallace,WallTy00,WR,22,2021,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,23,0,4,,,Oklahoma St.,
4,132,CLE,Tommy Togiai,TogiTo00,DT,21,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,,0.5,Ohio St.,
4,133,NOR,Ian Book,BookIa00,QB,23,2021,0,0,0,0,0,1,12,20,135,0,2,3,6,0,0,0,0,,,,Notre Dame,
4,134,MIN,Janarius Robinson,RobiJa04,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,
4,135,TEN,Rashad Weaver,WeavRa00,DL,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,
4,136,ARI,Marco Wilson,WilsMa04,CB,22,2021,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,40,,,Florida,
4,137,SEA,Tre Brown,BrowTr03,CB,23,2021,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,9,,,Oklahoma,
4,138,DAL,Josh Ball,BallJo00,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,
4,139,CIN,D'Ante Smith,SmitDA03,T,23,2021,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,East Carolina,
4,140,PIT,Buddy Johnson,JohnBu01,LB,22,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,Texas A&M,
4,141,LAR,Jacob Harris,HarrJa03,WR,24,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Central Florida,
4,142,GNB,Royce Newman,NewmRo00,G,24,2021,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,
4,143,LVR,Tyree Gillespie,GillTy00,S,23,2021,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri,
4,144,KAN,Joshua Kaindoh,KainJo00,DE,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
5,145,JAX,Luke Farrell,FarrLu00,TE,23,2021,0,0,0,0,0,15,0,0,0,0,0,0,0,0,7,56,0,,,,Ohio St.,
5,146,NYJ,Jamien Sherwood,SherJa00,DB,21,2021,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,8,,,Auburn,
5,147,HOU,Brevin Jordan,JordBr00,TE,21,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,20,178,3,,,,Miami (FL),
5,148,ATL,Ta'Quon Graham,GrahTa00,DL,22,2021,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,8,,,Texas,
5,149,CIN,Evan McPherson,McPhEv00,K,22,2021,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
5,150,PHI,Kenneth Gainwell,GainKe00,RB,22,2021,0,0,0,5,5,16,0,0,0,0,0,68,291,5,33,253,1,,,,Memphis,
5,151,CHI,Larry Borom,BoroLa00,OL,22,2021,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,
5,152,DEN,Caden Sterns,SterCa00,DB,21,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,22,2,2.0,Texas,
5,153,CLE,Tony Fields,FielTo00,LB,22,2021,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,2,,,West Virginia,
